date,label,t_value,horizon,future_ret
2022-07-21 00:00:00,-1,-4.557256149655905,15.0,-0.030483405483405446
2022-07-21 01:00:00,1,4.467467783969315,36.0,0.014837190515885723
2022-07-21 02:00:00,1,5.703074351801695,36.0,0.003230629113467387
2022-07-21 03:00:00,1,7.7537418218307765,36.0,0.0354568837621696
2022-07-21 04:00:00,1,7.575273340527442,36.0,0.025017725108882782
2022-07-21 05:00:00,1,7.151725073873091,35.0,0.01570068335937025
2022-07-21 06:00:00,1,7.2024382694544276,34.0,0.014213631491341916
2022-07-21 07:00:00,1,7.388656229682691,32.0,0.03116612901815774
2022-07-21 08:00:00,1,7.354540004976954,31.0,0.029132820884193
2022-07-21 09:00:00,1,7.47858617409828,30.0,0.030418450248973494
2022-07-21 10:00:00,1,7.498457705565175,29.0,0.02504562440253766
2022-07-21 11:00:00,1,8.118437292029736,28.0,0.030634535064572033
2022-07-21 12:00:00,1,8.18342829012245,27.0,0.04184534666495909
2022-07-21 13:00:00,1,7.4811488531336705,26.0,0.03922466960352433
2022-07-21 14:00:00,1,6.831972679656443,25.0,0.04517804055700525
2022-07-21 15:00:00,1,6.107484929121375,24.0,0.04497895902547078
2022-07-21 16:00:00,1,5.435886595006214,23.0,0.031265300412673946
2022-07-21 17:00:00,1,4.877192981771284,22.0,0.02103053517713005
2022-07-21 18:00:00,1,4.976586405410823,21.0,0.027188017068710435
2022-07-21 19:00:00,1,4.568089495363931,20.0,0.02300530357894015
2022-07-21 20:00:00,1,4.410139608597662,19.0,0.015549394727325971
2022-07-21 21:00:00,1,5.093315279528592,18.0,0.01960953809315935
2022-07-21 22:00:00,1,5.4144008589168395,17.0,0.02263279045269928
2022-07-21 23:00:00,1,5.368701721032675,16.0,0.02425342352747073
2022-07-22 00:00:00,-1,-5.224416119462542,36.0,-0.03839843462525816
2022-07-22 01:00:00,-1,-5.848953367431013,36.0,-0.04066364305927039
2022-07-22 02:00:00,1,6.926253259220441,11.0,0.022119029895961484
2022-07-22 03:00:00,1,9.907603539919238,10.0,0.026624183887261177
2022-07-22 04:00:00,1,11.410812434541423,9.0,0.031218753956922418
2022-07-22 05:00:00,-1,-9.236042816870802,36.0,-0.03510614651749644
2022-07-22 06:00:00,-1,-10.933292827186328,36.0,-0.044800870624206346
2022-07-22 07:00:00,-1,-11.939794011714286,36.0,-0.043369088881781925
2022-07-22 08:00:00,-1,-12.628943788162605,36.0,-0.03627417522366272
2022-07-22 09:00:00,-1,-13.325698950531201,36.0,-0.04954764557956437
2022-07-22 10:00:00,-1,-12.814338983372355,36.0,-0.050097842352309185
2022-07-22 11:00:00,-1,-12.091619527647843,35.0,-0.049368336170593996
2022-07-22 12:00:00,-1,-11.362229993589313,34.0,-0.05564573894099756
2022-07-22 13:00:00,-1,-10.61422032455307,33.0,-0.056605371349696676
2022-07-22 14:00:00,-1,-9.979344863550038,32.0,-0.04587965262671079
2022-07-22 15:00:00,-1,-9.235377265632549,31.0,-0.055505629408573065
2022-07-22 16:00:00,-1,-8.83890677719157,30.0,-0.04274789482728991
2022-07-22 17:00:00,-1,-8.116834250450927,29.0,-0.038907820385627345
2022-07-22 18:00:00,-1,-7.400633042231807,28.0,-0.029285676942648498
2022-07-22 19:00:00,-1,-6.87687055443913,27.0,-0.03405371426094117
2022-07-22 20:00:00,-1,-6.197280864520319,26.0,-0.012870212436036588
2022-07-22 21:00:00,-1,-6.793300046033564,25.0,-0.016721168231104366
2022-07-22 22:00:00,-1,-7.077022161122538,24.0,-0.016456400250730585
2022-07-22 23:00:00,-1,-7.470347353169005,23.0,-0.020016625542639166
2022-07-23 00:00:00,-1,-7.720098528861523,19.0,-0.021436781609195488
2022-07-23 01:00:00,-1,-9.630564559522108,18.0,-0.027797786366830723
2022-07-23 02:00:00,-1,-10.374861154091716,17.0,-0.030034398895729786
2022-07-23 03:00:00,-1,-10.45363389783435,16.0,-0.03113824874707294
2022-07-23 04:00:00,-1,-9.973684603840297,15.0,-0.027391963442230494
